INDUSTRY_INDEX,SECTOR,INDUSTRY,BUSINESS_CLASSIFICATION,YEAR,COLOR_GROUP,ANNUAL_PAYROLL,EMPLOYMENT,AVG_SALARY,AVG_SALARY_F
8,S48-49,Transportation and Warehousing,Small Business,2008,1,116299724000,3241236,35881.28849611691,"$35,881"
11,L53,Real Estate and Rental and Leasing,Large Business,2008,2,33590712000,749160,44837.83437449944,"$44,838"
9,L51,Information,Large Business,2008,2,180515571000,2517710,71698.31751869754,"$71,698"
10,S52,Finance and Insurance,Small Business,2008,1,278226770000,4186770,66453.7985129348,"$66,454"
9,S51,Information,Small Business,2008,1,106170485000,1831449,57970.75703445741,"$57,971"
3,L22,Utilities,Large Business,2008,2,29846309000,322581,92523.45612419826,"$92,523"
18,S72,Accommodation and Food Services,Small Business,2008,1,195906396000,14010806,13982.521490912086,"$13,983"
10,L52,Finance and Insurance,Large Business,2008,2,383129516000,4417469,86730.55000499154,"$86,731"
19,L81,Other Services (except Public Administration),Large Business,2008,2,27216344000,835743,32565.446554742306,"$32,565"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2008,2,29542277000,358595,82383.404676585,"$82,383"
21,S99,Industries not classified,Small Business,2008,1,268879000,13906,19335.466705019415,"$19,335"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2008,1,35202317000,528954,66550.80971124143,"$66,551"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2008,1,9008605000,273347,32956.663142452635,"$32,957"
19,S81,Other Services (except Public Administration),Small Business,2008,1,231745925000,9228597,25111.717956694825,"$25,112"
4,L23,Construction,Large Business,2009,2,58971213000,945567,62365.98041175295,"$62,366"
11,S53,Real Estate and Rental and Leasing,Small Business,2009,1,102485176000,2721107,37663.04522387396,"$37,663"
9,L51,Information,Large Business,2009,2,175338887000,2419898,72457.13951579777,"$72,457"
8,L48-49,Transportation and Warehousing,Large Business,2009,2,111320687000,2639058,42181.978190702896,"$42,182"
16,S62,Health Care and Social Assistance,Small Business,2009,1,627949586000,16517000,38018.380214324636,"$38,018"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2009,2,182638649000,5578495,32739.771031434106,"$32,740"
11,L53,Real Estate and Rental and Leasing,Large Business,2009,2,29803951000,673975,44221.15211988575,"$44,221"
4,S23,Construction,Small Business,2009,1,443471532000,10036542,44185.6898521423,"$44,186"
5,L31-33,Manufacturing,Large Business,2009,2,341736340000,6425223,53186.68939583887,"$53,187"
6,L42,Wholesale Trade,Large Business,2009,2,161769678000,2344998,68984.99614925045,"$68,985"
19,L81,Other Services (except Public Administration),Large Business,2009,2,25780208000,778731,33105.408671287005,"$33,105"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2009,1,213962086000,6947114,30798.700870606124,"$30,799"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2009,2,26265514000,338559,77580.31539554405,"$77,580"
8,S48-49,Transportation and Warehousing,Small Business,2009,1,106222829000,3033966,35011.2127162928,"$35,011"
15,S61,Educational Services,Small Business,2009,1,80585521000,2820795,28568.372036961213,"$28,568"
21,S99,Industries not classified,Small Business,2009,1,314634000,16771,18760.59865243575,"$18,761"
10,L52,Finance and Insurance,Large Business,2009,2,327817619000,4145865,79070.98253319874,"$79,071"
15,L61,Educational Services,Large Business,2009,2,64197265000,1762122,36431.79359885411,"$36,432"
16,L62,Health Care and Social Assistance,Large Business,2009,2,421556422000,9272642,45462.38515409092,"$45,462"
19,S81,Other Services (except Public Administration),Small Business,2009,1,227086874000,8969754,25316.956741511527,"$25,317"
6,S42,Wholesale Trade,Small Business,2009,1,344719573000,6965005,49493.08335026321,"$49,493"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2009,2,20119358000,704509,28557.985774489753,"$28,558"
18,S72,Accommodation and Food Services,Small Business,2009,1,193983342000,13503370,14365.550377424302,"$14,366"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2009,1,29009035000,495731,58517.694071986625,"$58,518"
7,S44-45,Retail Trade,Small Business,2009,1,297623848000,11036900,26966.25392999846,"$26,966"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2009,1,8111273000,248484,32643.03939086621,"$32,643"
13,L55,Management of Companies and Enterprises,Large Business,2009,2,239669415000,2490828,96220.78080060125,"$96,221"
18,L72,Accommodation and Food Services,Large Business,2009,2,82488613000,4691608,17582.162235208056,"$17,582"
3,L22,Utilities,Large Business,2009,2,25368119000,286199,88638.04206164242,"$88,638"
9,S51,Information,Small Business,2009,1,99246755000,1730174,57362.297086882594,"$57,362"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2009,2,656401000,18649,35197.65134859778,"$35,198"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2009,1,80320707000,2536367,31667.620261578864,"$31,668"
7,L44-45,Retail Trade,Large Business,2009,2,206680601000,9284317,22261.26068293446,"$22,261"
5,S31-33,Manufacturing,Small Business,2009,1,415754723000,10414067,39922.416765707385,"$39,922"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2009,2,243371317000,3081902,78967.89612388713,"$78,968"
10,S52,Finance and Insurance,Small Business,2009,1,265554854000,4047637,65607.37882374333,"$65,607"
13,S55,Management of Companies and Enterprises,Small Business,2009,1,49211232000,719932,68355.38912008356,"$68,355"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2009,1,567353022000,9516126,59620.16707218883,"$59,620"
3,S22,Utilities,Small Business,2009,1,12534097000,200696,62453.14804480408,"$62,453"
11,S53,Real Estate and Rental and Leasing,Small Business,2010,1,103684731000,2673499,38782.40874599168,"$38,782"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2010,2,254061284000,3158217,80444.53056898876,"$80,445"
13,S55,Management of Companies and Enterprises,Small Business,2010,1,53702065000,733958,73167.76300551258,"$73,168"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2010,1,218958538000,6776352,32312.155271745032,"$32,312"
8,L48-49,Transportation and Warehousing,Large Business,2010,2,112161668000,2529899,44334.4449719139,"$44,334"
13,L55,Management of Companies and Enterprises,Large Business,2010,2,253703079000,2452806,103433.81376268649,"$103,434"
7,S44-45,Retail Trade,Small Business,2010,1,301454732000,10800760,27910.511112180993,"$27,911"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2010,1,8612783000,254066,33899.785882408505,"$33,900"
7,L44-45,Retail Trade,Large Business,2010,2,208640691000,9096245,22937.013130143263,"$22,937"
6,S42,Wholesale Trade,Small Business,2010,1,348293149000,6670059,52217.40152523389,"$52,217"
6,L42,Wholesale Trade,Large Business,2010,2,164880287000,2263180,72853.36871128235,"$72,853"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2010,1,32402623000,480292,67464.42372556694,"$67,464"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2010,2,194340518000,5579506,34831.13343726129,"$34,831"
19,S81,Other Services (except Public Administration),Small Business,2010,1,230305226000,8917391,25826.525493835587,"$25,827"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2010,1,578025914000,9328400,61964.10038163029,"$61,964"
21,S99,Industries not classified,Small Business,2010,1,188112000,11868,15850.353892821031,"$15,850"
9,S51,Information,Small Business,2010,1,100789209000,1653193,60966.3898891418,"$60,966"
18,L72,Accommodation and Food Services,Large Business,2010,2,84442915000,4536104,18615.73610305231,"$18,616"
3,L22,Utilities,Large Business,2010,2,23598954000,259430,90964.63015071503,"$90,965"
18,S72,Accommodation and Food Services,Small Business,2010,1,202296144000,13552036,14927.36176320665,"$14,927"
10,L52,Finance and Insurance,Large Business,2010,2,339581652000,3969258,85552.93004385203,"$85,553"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2010,1,81926481000,2507361,32674.385938044023,"$32,674"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2010,2,541225000,15455,35019.411193788415,"$35,019"
3,S22,Utilities,Small Business,2010,1,13321109000,204904,65011.463905048215,"$65,011"
10,S52,Finance and Insurance,Small Business,2010,1,265495527000,3916796,67783.85369061856,"$67,784"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2010,2,20296391000,711207,28537.951679328242,"$28,538"
9,L51,Information,Large Business,2010,2,173150230000,2287891,75681.15351649183,"$75,681"
5,S31-33,Manufacturing,Small Business,2010,1,426403010000,9838709,43339.32531188797,"$43,339"
16,S62,Health Care and Social Assistance,Small Business,2010,1,636325356000,16700764,38101.57164067464,"$38,102"
19,L81,Other Services (except Public Administration),Large Business,2010,2,25144136000,744122,33790.34083120779,"$33,790"
4,L23,Construction,Large Business,2010,2,53464591000,840067,63643.2463124965,"$63,643"
11,L53,Real Estate and Rental and Leasing,Large Business,2010,2,28605877000,608859,46982.76119758433,"$46,983"
4,S23,Construction,Small Business,2010,1,414492898000,9091658,45590.46303765496,"$45,590"
15,L61,Educational Services,Large Business,2010,2,68129909000,1830370,37221.93272398477,"$37,222"
16,L62,Health Care and Social Assistance,Large Business,2010,2,434689789000,9437477,46059.9574441347,"$46,060"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2010,2,28803485000,325586,88466.59561529059,"$88,467"
5,L31-33,Manufacturing,Large Business,2010,2,337180491000,5943424,56731.69052048113,"$56,732"
15,S61,Educational Services,Small Business,2010,1,83100344000,2827820,29386.71626906946,"$29,387"
8,S48-49,Transportation and Warehousing,Small Business,2010,1,109248860000,2964079,36857.60737146345,"$36,858"
9,S51,Information,Small Business,2011,1,103547334000,1643443,63006.34339006586,"$63,006"
11,S53,Real Estate and Rental and Leasing,Small Business,2011,1,106095135000,2618130,40523.24941847807,"$40,523"
21,S99,Industries not classified,Small Business,2011,1,123987000,7810,15875.416133162613,"$15,875"
7,S44-45,Retail Trade,Small Business,2011,1,309458314000,10687314,28955.667813259723,"$28,956"
10,S52,Finance and Insurance,Small Business,2011,1,268574631000,3829366,70135.53444617202,"$70,136"
8,S48-49,Transportation and Warehousing,Small Business,2011,1,115438791000,3024767,38164.523416183794,"$38,165"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2011,2,266215994000,3247394,81978.34756115211,"$81,978"
9,L51,Information,Large Business,2011,2,182206731000,2299098,79251.39815701636,"$79,251"
8,L48-49,Transportation and Warehousing,Large Business,2011,2,118251841000,2593930,45587.90753798291,"$45,588"
11,L53,Real Estate and Rental and Leasing,Large Business,2011,2,30843191000,604429,51028.64190831347,"$51,029"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2011,2,610007000,18432,33094.99782986111,"$33,095"
10,L52,Finance and Insurance,Large Business,2011,2,359211562000,3970352,90473.47993326536,"$90,473"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2011,1,37243061000,519169,71735.91065722337,"$71,736"
15,L61,Educational Services,Large Business,2011,2,71588488000,1922884,37229.748648384404,"$37,230"
18,S72,Accommodation and Food Services,Small Business,2011,1,212571438000,13819122,15382.412717682064,"$15,382"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2011,2,21156428000,714751,29599.71794373145,"$29,600"
16,L62,Health Care and Social Assistance,Large Business,2011,2,457061188000,9657286,47328.11972224909,"$47,328"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2011,2,35911340000,381564,94116.16399870008,"$94,116"
4,S23,Construction,Small Business,2011,1,418157303000,8684771,48148.33954746763,"$48,148"
3,S22,Utilities,Small Business,2011,1,13618855000,202414,67282.17909828371,"$67,282"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2011,1,603628826000,9365032,64455.607412766985,"$64,456"
15,S61,Educational Services,Small Business,2011,1,85715101000,2867868,29888.091432381127,"$29,888"
5,L31-33,Manufacturing,Large Business,2011,2,353270504000,6010801,58772.616827607504,"$58,773"
19,L81,Other Services (except Public Administration),Large Business,2011,2,26232505000,746705,35131.015595181496,"$35,131"
5,S31-33,Manufacturing,Small Business,2011,1,443043029000,9946187,44544.00756792528,"$44,544"
16,S62,Health Care and Social Assistance,Small Business,2011,1,646140272000,16803652,38452.37166301706,"$38,452"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2011,1,82413255000,2504164,32910.48629402867,"$32,910"
4,L23,Construction,Large Business,2011,2,55855054000,844909,66107.77492013933,"$66,108"
6,L42,Wholesale Trade,Large Business,2011,2,176351635000,2293131,76904.3002776553,"$76,904"
7,L44-45,Retail Trade,Large Business,2011,2,216015504000,9354906,23091.14639954693,"$23,091"
13,L55,Management of Companies and Enterprises,Large Business,2011,2,271042578000,2545447,106481.32842679498,"$106,481"
18,L72,Accommodation and Food Services,Large Business,2011,2,87827011000,4642364,18918.596430611644,"$18,919"
3,L22,Utilities,Large Business,2011,2,24964849000,263415,94773.83216597384,"$94,774"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2011,1,226900170000,6839688,33174.052676086976,"$33,174"
13,S55,Management of Companies and Enterprises,Small Business,2011,1,54474848000,741081,73507.27923128511,"$73,507"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2011,1,8832496000,254084,34762.110168290805,"$34,762"
19,S81,Other Services (except Public Administration),Small Business,2011,1,235908574000,8866884,26605.578013651695,"$26,606"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2011,2,212489289000,5958904,35659.12271786892,"$35,659"
6,S42,Wholesale Trade,Small Business,2011,1,361568360000,6665754,54242.67982286775,"$54,243"
18,S72,Accommodation and Food Services,Small Business,2012,1,223907480000,14356648,15596.083431174186,"$15,596"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2012,1,86916779000,2596269,33477.570698567826,"$33,478"
18,L72,Accommodation and Food Services,Large Business,2012,2,91504983000,4802518,19053.54295392542,"$19,054"
10,L52,Finance and Insurance,Large Business,2012,2,378602876000,4059696,93258.92283560148,"$93,259"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2012,2,21558728000,722454,29840.969805690052,"$29,841"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2012,1,635538487000,9530239,66686.52139783693,"$66,687"
15,S61,Educational Services,Small Business,2012,1,90553815000,2982180,30364.972939259198,"$30,365"
16,L62,Health Care and Social Assistance,Large Business,2012,2,485978143000,9927204,48954.1811571516,"$48,954"
21,S99,Industries not classified,Small Business,2012,1,111288000,5251,21193.677394781946,"$21,194"
11,L53,Real Estate and Rental and Leasing,Large Business,2012,2,31566046000,596379,52929.50623680579,"$52,930"
15,L61,Educational Services,Large Business,2012,2,74343477000,1953064,38065.04907161261,"$38,065"
19,L81,Other Services (except Public Administration),Large Business,2012,2,27350016000,746919,36617.11109236744,"$36,617"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2012,1,238568358000,7031388,33929.056112392034,"$33,929"
11,S53,Real Estate and Rental and Leasing,Small Business,2012,1,115224387000,2682988,42946.292342716406,"$42,946"
13,S55,Management of Companies and Enterprises,Small Business,2012,1,57980230000,769154,75381.82210584616,"$75,382"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2012,2,277099888000,3248927,85289.66271018093,"$85,290"
19,S81,Other Services (except Public Administration),Small Business,2012,1,244397296000,9015248,27109.325888760908,"$27,109"
13,L55,Management of Companies and Enterprises,Large Business,2012,2,286453498000,2650953,108056.79995081015,"$108,057"
16,S62,Health Care and Social Assistance,Small Business,2012,1,657408614000,16902276,38894.67986441589,"$38,895"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2012,2,230793098000,6340172,36401.70929116749,"$36,402"
10,S52,Finance and Insurance,Small Business,2012,1,285449977000,3809396,74933.13296911112,"$74,933"
5,L31-33,Manufacturing,Large Business,2012,2,367052197000,6104793,60125.24863660406,"$60,125"
5,S31-33,Manufacturing,Small Business,2012,1,462974582000,10173663,45507.16708426454,"$45,507"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2012,1,9493124000,263144,36075.77600097285,"$36,076"
8,L48-49,Transportation and Warehousing,Large Business,2012,2,123602919000,2665332,46374.3049646348,"$46,374"
8,S48-49,Transportation and Warehousing,Small Business,2012,1,122252135000,3123848,39135.10996693821,"$39,135"
3,S22,Utilities,Small Business,2012,1,14708507000,212164,69326.12035972172,"$69,326"
9,L51,Information,Large Business,2012,2,198224551000,2274225,87161.36310171596,"$87,161"
6,S42,Wholesale Trade,Small Business,2012,1,383490192000,6880708,55734.11805878116,"$55,734"
7,L44-45,Retail Trade,Large Business,2012,2,219837726000,9485989,23174.992718207875,"$23,175"
4,S23,Construction,Small Business,2012,1,431151936000,8760040,49218.0327943708,"$49,218"
3,L22,Utilities,Large Business,2012,2,24747594000,253758,97524.38937885703,"$97,524"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2012,2,39173628000,419399,93404.19981926518,"$93,404"
6,L42,Wholesale Trade,Large Business,2012,2,178311485000,2335727,76340.89300675978,"$76,341"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2012,2,655162000,17992,36414.07292129836,"$36,414"
9,S51,Information,Small Business,2012,1,113932897000,1719336,66265.63801374484,"$66,266"
4,L23,Construction,Large Business,2012,2,59234801000,874824,67710.53491902372,"$67,711"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2012,1,41478544000,579753,71545.1994211328,"$71,545"
7,S44-45,Retail Trade,Small Business,2012,1,314402126000,10643938,29538.139549478772,"$29,538"
7,S44-45,Retail Trade,Small Business,2013,1,325719982000,10740838,30325.378895017315,"$30,325"
5,L31-33,Manufacturing,Large Business,2013,2,380138931000,6216434,61150.64215271971,"$61,151"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2013,1,654771756000,9736835,67246.87806664075,"$67,247"
18,L72,Accommodation and Food Services,Large Business,2013,2,96938506000,4940599,19620.800230903176,"$19,621"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2013,1,42475689000,568437,74723.65275307554,"$74,724"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2013,1,86677632000,2624137,33030.909590467265,"$33,031"
3,L22,Utilities,Large Business,2013,2,26517432000,266249,99596.36280324057,"$99,596"
4,S23,Construction,Small Business,2013,1,460095062000,9052778,50823.632480549066,"$50,824"
13,L55,Management of Companies and Enterprises,Large Business,2013,2,295370282000,2702171,109308.50860289745,"$109,309"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2013,2,23511903000,760787,30904.711831301007,"$30,905"
6,S42,Wholesale Trade,Small Business,2013,1,388323306000,6926060,56066.98555888918,"$56,067"
3,S22,Utilities,Small Business,2013,1,14638908000,210196,69644.08456868827,"$69,644"
13,S55,Management of Companies and Enterprises,Small Business,2013,1,56570413000,748606,75567.67244718851,"$75,568"
16,L62,Health Care and Social Assistance,Large Business,2013,2,502248382000,10083605,49808.41494683697,"$49,808"
16,S62,Health Care and Social Assistance,Small Business,2013,1,660117120000,17030212,38761.532739580696,"$38,762"
6,L42,Wholesale Trade,Large Business,2013,2,192143219000,2445141,78581.65193745474,"$78,582"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2013,2,244479137000,6651573,36755.08590223696,"$36,755"
4,L23,Construction,Large Business,2013,2,63690288000,940385,67727.88591906507,"$67,728"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2013,1,242367652000,7047604,34390.078103139735,"$34,390"
7,L44-45,Retail Trade,Large Business,2013,2,224434625000,9652943,23250.383328690536,"$23,250"
18,S72,Accommodation and Food Services,Small Business,2013,1,238800620000,14909576,16016.593630831621,"$16,017"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2013,2,297620044000,3343706,89009.0348852441,"$89,009"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2013,1,9415402000,255877,36796.593675867705,"$36,797"
9,S51,Information,Small Business,2013,1,118078542000,1738981,67900.996043085,"$67,901"
21,S99,Industries not classified,Small Business,2013,1,164316000,7264,22620.59471365639,"$22,621"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2013,2,584418000,15260,38297.37876802097,"$38,297"
10,L52,Finance and Insurance,Large Business,2013,2,396685681000,4143262,95742.35976387687,"$95,742"
15,S61,Educational Services,Small Business,2013,1,94336830000,3063781,30790.983428645846,"$30,791"
9,L51,Information,Large Business,2013,2,214100481000,2393543,89449.18933981967,"$89,449"
19,S81,Other Services (except Public Administration),Small Business,2013,1,250674682000,9069834,27638.287756975486,"$27,638"
10,S52,Finance and Insurance,Small Business,2013,1,281383140000,3828755,73492.07248831539,"$73,492"
15,L61,Educational Services,Large Business,2013,2,76477654000,1950290,39213.47799558014,"$39,213"
8,S48-49,Transportation and Warehousing,Small Business,2013,1,125424860000,3168818,39580.96047169639,"$39,581"
11,L53,Real Estate and Rental and Leasing,Large Business,2013,2,32619233000,606203,53809.0920038337,"$53,809"
19,L81,Other Services (except Public Administration),Large Business,2013,2,27246665000,729023,37374.21864605095,"$37,374"
5,S31-33,Manufacturing,Small Business,2013,1,463355647000,10119366,45788.999725872156,"$45,789"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2013,2,42181472000,429828,98135.70079194469,"$98,136"
11,S53,Real Estate and Rental and Leasing,Small Business,2013,1,118826859000,2718963,43703.00699200394,"$43,703"
8,L48-49,Transportation and Warehousing,Large Business,2013,2,130903493000,2701697,48452.322003540736,"$48,452"
15,S61,Educational Services,Small Business,2014,1,98954895000,3127464,31640.618405199868,"$31,641"
13,S55,Management of Companies and Enterprises,Small Business,2014,1,60169323000,770860,78054.79983395169,"$78,055"
3,S22,Utilities,Small Business,2014,1,15093206000,211470,71372.79992433915,"$71,373"
5,L31-33,Manufacturing,Large Business,2014,2,398204414000,6308455,63122.335659048054,"$63,122"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2014,2,670991000,16286,41200.478938965985,"$41,200"
16,S62,Health Care and Social Assistance,Small Business,2014,1,675838398000,17152587,39401.543219107414,"$39,402"
10,L52,Finance and Insurance,Large Business,2014,2,417863350000,4148451,100727.56072085701,"$100,728"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2014,1,48669046000,608734,79951.25292820839,"$79,951"
9,L51,Information,Large Business,2014,2,230156844000,2467509,93274.97650464496,"$93,275"
9,S51,Information,Small Business,2014,1,127182848000,1790273,71041.03564093297,"$71,041"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2014,2,267335466000,6984048,38278.01097586958,"$38,278"
21,S99,Industries not classified,Small Business,2014,1,246999000,11427,21615.384615384617,"$21,615"
4,L23,Construction,Large Business,2014,2,69414057000,975724,71141.07780478906,"$71,141"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2014,1,255470871000,7162936,35665.66433093916,"$35,666"
16,L62,Health Care and Social Assistance,Large Business,2014,2,521953530000,10266312,50841.38588423964,"$50,841"
6,L42,Wholesale Trade,Large Business,2014,2,203746713000,2494118,81690.88752015743,"$81,691"
8,L48-49,Transportation and Warehousing,Large Business,2014,2,141155425000,2796467,50476.34211310199,"$50,476"
19,S81,Other Services (except Public Administration),Small Business,2014,1,262342874000,9168234,28614.330087997318,"$28,614"
7,S44-45,Retail Trade,Small Business,2014,1,340560036000,10889988,31272.765038859547,"$31,273"
4,S23,Construction,Small Business,2014,1,499526078000,9452284,52847.12964612574,"$52,847"
19,L81,Other Services (except Public Administration),Large Business,2014,2,30091253000,763004,39437.87057472831,"$39,438"
11,L53,Real Estate and Rental and Leasing,Large Business,2014,2,35387926000,626723,56465.01883607271,"$56,465"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2014,2,45620884000,444576,102616.61448211329,"$102,617"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2014,1,688986676000,9951306,69235.80442607231,"$69,236"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2014,1,91664037000,2681197,34187.729211990016,"$34,188"
18,L72,Accommodation and Food Services,Large Business,2014,2,100722619000,5079290,19830.058728680582,"$19,830"
8,S48-49,Transportation and Warehousing,Small Business,2014,1,132239486000,3216590,41111.70090064323,"$41,112"
6,S42,Wholesale Trade,Small Business,2014,1,402087219000,6944430,57900.679969414334,"$57,901"
7,L44-45,Retail Trade,Large Business,2014,2,236345435000,9927638,23806.814370145246,"$23,807"
15,L61,Educational Services,Large Business,2014,2,79328512000,1966672,40336.42213851623,"$40,336"
3,L22,Utilities,Large Business,2014,2,27013429000,265757,101647.10242815806,"$101,647"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2014,1,9996983000,258612,38656.29978500611,"$38,656"
11,S53,Real Estate and Rental and Leasing,Small Business,2014,1,127793559000,2777300,46013.59557843949,"$46,014"
13,L55,Management of Companies and Enterprises,Large Business,2014,2,318929755000,2838152,112372.3306574137,"$112,372"
10,S52,Finance and Insurance,Small Business,2014,1,298075582000,3851787,77386.30978296568,"$77,386"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2014,2,25146199000,786237,31982.97587114318,"$31,983"
5,S31-33,Manufacturing,Small Business,2014,1,483380196000,10231023,47246.516404078066,"$47,247"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2014,2,320676850000,3643921,88003.23881884376,"$88,003"
