STATE_DESCRIPTION,STATE_CODE,BUSINESS_CLASSIFICATION,YEAR,ANNUAL_PAYROLL,EMPLOYMENT
Indiana,IN,Small Business,2008,81672542000,2531716
Alaska,AK,Large Business,2008,6285571000,111614
Massachusetts,MA,Large Business,2008,93413493000,1602103
Maine,ME,Large Business,2008,8064418000,208327
Tennessee,TN,Small Business,2008,76470586000,2235738
Mississippi,MS,Large Business,2008,15517699000,471070
West Virginia,WV,Small Business,2008,17788443000,622491
Virginia,VA,Large Business,2008,78580195000,1639038
Massachusetts,MA,Small Business,2008,136683968000,2943274
Arizona,AZ,Small Business,2008,74211347000,2187256
Wisconsin,WI,Large Business,2008,51917429000,1202490
Vermont,VT,Large Business,2008,3571172000,103031
Georgia,GA,Large Business,2009,81864427000,1857195
New Mexico,NM,Small Business,2009,21062669000,668876
Maryland,MD,Small Business,2009,91175318000,2208265
Florida,FL,Large Business,2009,152002438000,3960367
Kentucky,KY,Large Business,2009,29858182000,772248
New York,NY,Large Business,2009,225724330000,3538351
Maryland,MD,Large Business,2009,50693816000,1005404
New York,NY,Small Business,2009,349704275000,7585170
Maine,ME,Small Business,2009,18035591000,563691
Kentucky,KY,Small Business,2009,43689638000,1427751
North Carolina,NC,Large Business,2009,73871702000,1768912
District of Columbia,DC,Small Business,2009,25196820000,433095
Maine,ME,Large Business,2009,8027166000,205189
Wyoming,WY,Large Business,2009,3450347000,72177
North Carolina,NC,Small Business,2009,100888847000,3169319
Washington,WA,Small Business,2009,95961873000,2542978
Louisiana,LA,Large Business,2009,30719095000,739170
Louisiana,LA,Small Business,2009,59172419000,1775482
Florida,FL,Small Business,2009,202653238000,5800753
New Mexico,NM,Large Business,2009,10516465000,277188
Indiana,IN,Large Business,2009,50605248000,1263183
New Jersey,NJ,Small Business,2009,150624296000,3462422
Idaho,ID,Small Business,2009,16458902000,573168
Nebraska,NE,Large Business,2009,15006422000,381127
Montana,MT,Small Business,2009,13176671000,464657
Minnesota,MN,Small Business,2009,84880601000,2406897
District of Columbia,DC,Large Business,2009,17288028000,246141
Illinois,IL,Large Business,2009,134691875000,2665711
Iowa,IA,Large Business,2009,23140720000,612271
Montana,MT,Large Business,2009,3583480000,95041
Wisconsin,WI,Small Business,2009,79978434000,2441422
Indiana,IN,Small Business,2009,75385076000,2370198
Illinois,IL,Small Business,2009,198518108000,4908930
Missouri,MO,Small Business,2009,73496496000,2264697
Missouri,MO,Large Business,2009,52024735000,1222974
Mississippi,MS,Small Business,2009,25412896000,891619
Mississippi,MS,Large Business,2009,15230111000,450741
West Virginia,WV,Small Business,2009,17470013000,610398
Minnesota,MN,Large Business,2009,58764017000,1200355
Nebraska,NE,Small Business,2009,24457318000,791911
Massachusetts,MA,Large Business,2009,89883332000,1564386
Georgia,GA,Small Business,2009,106278621000,3067361
New Jersey,NJ,Large Business,2009,101719559000,1710793
New Hampshire,NH,Small Business,2009,22453640000,576669
Kansas,KS,Large Business,2009,22768947000,541645
Hawaii,HI,Large Business,2009,8410572000,219160
New Hampshire,NH,Large Business,2009,12321880000,278235
Michigan,MI,Large Business,2009,72996490000,1594813
West Virginia,WV,Large Business,2009,10113287000,267249
Hawaii,HI,Small Business,2009,18175803000,532060
Nevada,NV,Small Business,2009,31491724000,881399
Michigan,MI,Small Business,2009,122075837000,3536572
Iowa,IA,Small Business,2009,40429073000,1329075
Nevada,NV,Large Business,2009,22913582000,596078
Idaho,ID,Large Business,2009,7875378000,210286
Kansas,KS,Small Business,2009,38692547000,1208303
Massachusetts,MA,Small Business,2009,127668222000,2805718
Wisconsin,WI,Large Business,2009,49329744000,1133745
North Dakota,ND,Large Business,2009,4436726000,113096
Alaska,AK,Small Business,2009,11255102000,257126
Oklahoma,OK,Small Business,2009,43248159000,1379954
Virginia,VA,Small Business,2009,115299105000,2918000
Oregon,OR,Large Business,2009,28175627000,596817
Texas,TX,Small Business,2009,303187224000,8212272
Connecticut,CT,Large Business,2009,42904748000,725835
Oregon,OR,Small Business,2009,50304010000,1531763
Texas,TX,Large Business,2009,224987671000,4817503
Tennessee,TN,Small Business,2009,70793110000,2075244
Colorado,CO,Small Business,2009,74509660000,1973212
Pennsylvania,PA,Large Business,2009,122382062000,2598873
Arizona,AZ,Small Business,2009,66165844000,1949795
Tennessee,TN,Large Business,2009,50808645000,1279991
Pennsylvania,PA,Small Business,2009,174657488000,4888881
Colorado,CO,Large Business,2009,49631901000,1010484
Arkansas,AR,Large Business,2009,18747644000,486802
Washington,WA,Large Business,2009,61788510000,1106372
South Dakota,SD,Small Business,2009,11533905000,402074
Rhode Island,RI,Large Business,2009,8464748000,181334
South Dakota,SD,Large Business,2009,4588397000,127818
Wyoming,WY,Small Business,2009,9284172000,276641
Arkansas,AR,Small Business,2009,27729997000,954916
California,CA,Small Business,2009,543289779000,13081697
Rhode Island,RI,Small Business,2009,16274022000,455270
South Carolina,SC,Small Business,2009,44691515000,1499405
California,CA,Large Business,2009,344725765000,6236858
South Carolina,SC,Large Business,2009,29362131000,792678
Utah,UT,Large Business,2009,20664942000,533466
Connecticut,CT,Small Business,2009,68614279000,1468522
Arizona,AZ,Large Business,2009,48403822000,1127065
Delaware,DE,Small Business,2009,13170193000,340490
Utah,UT,Small Business,2009,32387758000,992353
Ohio,OH,Large Business,2009,98434865000,2296390
Delaware,DE,Large Business,2009,9935870000,197666
Virginia,VA,Large Business,2009,78285888000,1589109
Ohio,OH,Small Business,2009,142624208000,4279174
Vermont,VT,Small Business,2009,10425980000,313826
Vermont,VT,Large Business,2009,3652394000,104698
Alaska,AK,Large Business,2009,6607761000,119761
Alabama,AL,Small Business,2009,50828065000,1575035
Alabama,AL,Large Business,2009,30414884000,810054
Oklahoma,OK,Large Business,2009,22749881000,580340
North Dakota,ND,Small Business,2009,10562158000,353032
Wisconsin,WI,Large Business,2010,50224966000,1117316
Mississippi,MS,Large Business,2010,14771986000,429122
Wyoming,WY,Small Business,2010,9421456000,265175
Mississippi,MS,Small Business,2010,25860213000,873694
Vermont,VT,Small Business,2010,10704430000,313254
Kentucky,KY,Small Business,2010,43872321000,1393192
Indiana,IN,Large Business,2010,51954141000,1243427
Arkansas,AR,Large Business,2010,19050508000,478490
Louisiana,LA,Large Business,2010,30912910000,718783
Wyoming,WY,Large Business,2010,3614685000,70116
Maine,ME,Large Business,2010,7996203000,196946
Missouri,MO,Large Business,2010,51533718000,1180825
Alabama,AL,Large Business,2010,30683817000,785207
South Dakota,SD,Large Business,2010,4778630000,122251
Montana,MT,Large Business,2010,3505786000,92971
South Carolina,SC,Small Business,2010,44632999000,1455180
Missouri,MO,Small Business,2010,73828927000,2210801
Illinois,IL,Small Business,2010,199397948000,4776952
Virginia,VA,Large Business,2010,78928252000,1547780
Louisiana,LA,Small Business,2010,60824735000,1738546
Arkansas,AR,Small Business,2010,28651597000,964309
South Dakota,SD,Small Business,2010,11924314000,407230
Utah,UT,Large Business,2010,20903752000,503011
Arizona,AZ,Small Business,2010,65077621000,1851050
Indiana,IN,Small Business,2010,76402215000,2303634
Massachusetts,MA,Large Business,2010,93569800000,1570852
Kansas,KS,Small Business,2010,39317394000,1188209
Alaska,AK,Large Business,2010,6835643000,117076
Maryland,MD,Small Business,2010,92102883000,2140867
Massachusetts,MA,Small Business,2010,129533086000,2713923
Kansas,KS,Large Business,2010,22993676000,532531
Alaska,AK,Small Business,2010,11556153000,265101
Utah,UT,Small Business,2010,32920687000,982538
Texas,TX,Small Business,2010,310779504000,8150673
Michigan,MI,Large Business,2010,74193676000,1569437
Maryland,MD,Large Business,2010,51384471000,991726
Virginia,VA,Small Business,2010,117652972000,2873886
Tennessee,TN,Large Business,2010,51529320000,1245107
Iowa,IA,Small Business,2010,41124397000,1286253
Michigan,MI,Small Business,2010,125638093000,3397126
West Virginia,WV,Small Business,2010,17655140000,594663
Arizona,AZ,Large Business,2010,50520480000,1128659
Texas,TX,Large Business,2010,231232300000,4709041
Minnesota,MN,Large Business,2010,61888124000,1166547
Iowa,IA,Large Business,2010,23790765000,602490
Tennessee,TN,Small Business,2010,71853562000,2034172
Kentucky,KY,Large Business,2010,30306955000,760120
Vermont,VT,Large Business,2010,3730812000,104100
Maine,ME,Small Business,2010,18324735000,563989
Minnesota,MN,Small Business,2010,85369634000,2360608
Alabama,AL,Small Business,2010,51226911000,1535780
Wisconsin,WI,Small Business,2010,81061010000,2401120
California,CA,Large Business,2010,356783861000,6157627
Illinois,IL,Large Business,2010,133449735000,2564711
Florida,FL,Large Business,2010,151412802000,3779532
Colorado,CO,Large Business,2010,51030948000,987295
Oregon,OR,Large Business,2010,28945289000,600871
North Carolina,NC,Large Business,2010,74373398000,1689205
Ohio,OH,Large Business,2010,100487896000,2254865
Pennsylvania,PA,Small Business,2010,178316737000,4837188
Washington,WA,Large Business,2010,62374871000,1070289
New Hampshire,NH,Large Business,2010,12981116000,276952
New Mexico,NM,Small Business,2010,21138045000,659788
Oklahoma,OK,Large Business,2010,23269114000,551657
New York,NY,Large Business,2010,240721653000,3527416
Georgia,GA,Large Business,2010,82889500000,1811999
Hawaii,HI,Large Business,2010,8520608000,217206
Pennsylvania,PA,Large Business,2010,122458104000,2556451
Colorado,CO,Small Business,2010,75350665000,1922713
New Hampshire,NH,Small Business,2010,22250062000,566834
Delaware,DE,Large Business,2010,10116749000,187917
Ohio,OH,Small Business,2010,143901463000,4147913
New Jersey,NJ,Small Business,2010,150146352000,3377437
Montana,MT,Small Business,2010,13192478000,459995
New Jersey,NJ,Large Business,2010,103545597000,1677019
Georgia,GA,Small Business,2010,106125550000,2965585
Oregon,OR,Small Business,2010,50817668000,1499758
Connecticut,CT,Large Business,2010,44945899000,714503
New York,NY,Small Business,2010,354976655000,7472344
Hawaii,HI,Small Business,2010,17552087000,516886
Washington,WA,Small Business,2010,96771622000,2497506
South Carolina,SC,Large Business,2010,30224444000,775092
Nebraska,NE,Large Business,2010,15457479000,377081
North Dakota,ND,Large Business,2010,4541887000,108396
Idaho,ID,Small Business,2010,16229024000,562671
District of Columbia,DC,Large Business,2010,16619908000,233248
Oklahoma,OK,Small Business,2010,44162680000,1344782
Rhode Island,RI,Small Business,2010,16576037000,441425
Florida,FL,Small Business,2010,202453767000,5679269
Connecticut,CT,Small Business,2010,67818904000,1426567
North Carolina,NC,Small Business,2010,101584075000,3089581
Nevada,NV,Small Business,2010,30260175000,835481
Nebraska,NE,Small Business,2010,24921761000,781900
Delaware,DE,Small Business,2010,13587478000,336545
California,CA,Small Business,2010,546322564000,12642203
Idaho,ID,Large Business,2010,7944622000,204205
North Dakota,ND,Small Business,2010,11461471000,364027
Rhode Island,RI,Large Business,2010,8301243000,173318
Nevada,NV,Large Business,2010,22312097000,579896
District of Columbia,DC,Small Business,2010,26394554000,433642
West Virginia,WV,Large Business,2010,10477937000,262732
New Mexico,NM,Large Business,2010,10395039000,265689
Maryland,MD,Small Business,2011,94034702000,2154214
Utah,UT,Large Business,2011,21735309000,512080
Oklahoma,OK,Large Business,2011,25500433000,569291
New York,NY,Large Business,2011,253413518000,3607922
Ohio,OH,Large Business,2011,105868293000,2336689
Maryland,MD,Large Business,2011,53900796000,1013596
New York,NY,Small Business,2011,362894923000,7519175
Utah,UT,Small Business,2011,34207375000,967224
Washington,WA,Small Business,2011,98544901000,2441300
Vermont,VT,Large Business,2011,3661601000,103083
Maine,ME,Small Business,2011,18691052000,560056
Maine,ME,Large Business,2011,8374305000,199013
North Carolina,NC,Large Business,2011,79836636000,1753340
North Dakota,ND,Small Business,2011,12836634000,363747
Vermont,VT,Small Business,2011,11101761000,311857
Louisiana,LA,Small Business,2011,63247763000,1747506
North Carolina,NC,Small Business,2011,103561453000,3061409
Virginia,VA,Large Business,2011,83332741000,1583146
North Dakota,ND,Large Business,2011,5609590000,120061
Ohio,OH,Small Business,2011,148353318000,4147368
Massachusetts,MA,Large Business,2011,99315012000,1590973
Montana,MT,Small Business,2011,13877637000,452108
Massachusetts,MA,Small Business,2011,131640858000,2737584
Nevada,NV,Small Business,2011,30664470000,820123
Mississippi,MS,Small Business,2011,25958878000,862963
Pennsylvania,PA,Small Business,2011,183683969000,4859646
Nevada,NV,Large Business,2011,22906511000,585109
South Dakota,SD,Large Business,2011,4948342000,126816
Missouri,MO,Large Business,2011,54773977000,1198546
Rhode Island,RI,Large Business,2011,8664828000,183161
West Virginia,WV,Large Business,2011,11440934000,273942
Nebraska,NE,Small Business,2011,25777718000,769283
Missouri,MO,Small Business,2011,74926571000,2182233
South Carolina,SC,Small Business,2011,45282488000,1437398
Nebraska,NE,Large Business,2011,16945730000,410568
Montana,MT,Large Business,2011,4017335000,98271
Rhode Island,RI,Small Business,2011,16983672000,442753
South Carolina,SC,Large Business,2011,31780522000,802055
South Dakota,SD,Small Business,2011,12212419000,393346
Mississippi,MS,Large Business,2011,16142721000,449117
New Hampshire,NH,Large Business,2011,12859900000,271290
Tennessee,TN,Large Business,2011,54460229000,1281142
New Mexico,NM,Large Business,2011,10913279000,266071
Oklahoma,OK,Small Business,2011,46121334000,1350022
Texas,TX,Small Business,2011,327911207000,8238248
Michigan,MI,Large Business,2011,78009370000,1635717
West Virginia,WV,Small Business,2011,18456954000,587780
New Jersey,NJ,Small Business,2011,153872787000,3376827
Oregon,OR,Large Business,2011,29887095000,590903
New Mexico,NM,Small Business,2011,21476391000,652846
New Jersey,NJ,Large Business,2011,106507010000,1687914
Oregon,OR,Small Business,2011,52304711000,1500051
Washington,WA,Large Business,2011,68651670000,1125886
New Hampshire,NH,Small Business,2011,22971729000,564342
Virginia,VA,Small Business,2011,121382156000,2862778
Tennessee,TN,Small Business,2011,74473430000,2035097
Minnesota,MN,Small Business,2011,88873003000,2347260
Pennsylvania,PA,Large Business,2011,130384280000,2647138
Michigan,MI,Small Business,2011,132192564000,3447679
Texas,TX,Large Business,2011,250131363000,4867862
Minnesota,MN,Large Business,2011,65250039000,1208778
Arizona,AZ,Small Business,2011,66752293000,1854844
California,CA,Large Business,2011,376704022000,6308448
Florida,FL,Large Business,2011,160643957000,3853898
Georgia,GA,Small Business,2011,107991160000,2955760
Alaska,AK,Large Business,2011,7104303000,120310
Indiana,IN,Large Business,2011,55023450000,1282940
District of Columbia,DC,Large Business,2011,18632997000,250715
Georgia,GA,Large Business,2011,85780464000,1830200
Alaska,AK,Small Business,2011,12132119000,261967
Kansas,KS,Small Business,2011,40540464000,1176530
Connecticut,CT,Small Business,2011,68334180000,1419164
Arkansas,AR,Small Business,2011,29382900000,965481
Florida,FL,Small Business,2011,209509938000,5754867
Indiana,IN,Small Business,2011,78780683000,2306343
District of Columbia,DC,Small Business,2011,27734128000,446975
Hawaii,HI,Large Business,2011,9162045000,226140
Kansas,KS,Large Business,2011,23425099000,524462
Delaware,DE,Small Business,2011,13761858000,333233
Wyoming,WY,Large Business,2011,3921817000,69596
Connecticut,CT,Large Business,2011,46871487000,724032
Arizona,AZ,Large Business,2011,52113119000,1169927
Arkansas,AR,Large Business,2011,20223054000,492987
Hawaii,HI,Small Business,2011,17814097000,511819
Iowa,IA,Large Business,2011,25245590000,625860
Iowa,IA,Small Business,2011,42492302000,1273052
Wyoming,WY,Small Business,2011,9719091000,260424
Kentucky,KY,Large Business,2011,31869140000,773511
Illinois,IL,Small Business,2011,204028909000,4762678
Idaho,ID,Large Business,2011,8498702000,208556
Colorado,CO,Large Business,2011,53291335000,1003393
Alabama,AL,Large Business,2011,32037589000,800826
Kentucky,KY,Small Business,2011,44931415000,1378035
Idaho,ID,Small Business,2011,16273430000,540477
Wisconsin,WI,Large Business,2011,53464797000,1152720
California,CA,Small Business,2011,561630141000,12659742
Illinois,IL,Large Business,2011,140277766000,2630260
Louisiana,LA,Large Business,2011,33167056000,732041
Alabama,AL,Small Business,2011,51870084000,1513757
Delaware,DE,Large Business,2011,10424541000,190400
Wisconsin,WI,Small Business,2011,83667693000,2397693
Colorado,CO,Small Business,2011,77588067000,1923636
Colorado,CO,Large Business,2012,56208335000,1038124
Illinois,IL,Small Business,2012,212267045000,4823807
Pennsylvania,PA,Small Business,2012,188399522000,4889842
Indiana,IN,Small Business,2012,81312418000,2344253
Nebraska,NE,Large Business,2012,18371901000,426339
Arkansas,AR,Large Business,2012,20834122000,501473
Hawaii,HI,Small Business,2012,18278660000,512823
South Dakota,SD,Small Business,2012,12582308000,395229
Montana,MT,Small Business,2012,14500623000,461923
Florida,FL,Small Business,2012,223400448000,5999916
North Carolina,NC,Small Business,2012,107842011000,3111494
New York,NY,Large Business,2012,263483442000,3696361
Nevada,NV,Small Business,2012,31747771000,827882
Minnesota,MN,Large Business,2012,69063076000,1283005
Connecticut,CT,Large Business,2012,48605535000,734993
Iowa,IA,Large Business,2012,26955977000,655186
North Dakota,ND,Large Business,2012,6947463000,132177
Arizona,AZ,Small Business,2012,70669075000,1909666
Minnesota,MN,Small Business,2012,92309545000,2373437
Pennsylvania,PA,Large Business,2012,137547558000,2724173
Montana,MT,Large Business,2012,4265889000,100343
Mississippi,MS,Large Business,2012,17052354000,458639
Nebraska,NE,Small Business,2012,26506768000,779977
Oregon,OR,Small Business,2012,54373047000,1514098
California,CA,Large Business,2012,397066322000,6423183
Missouri,MO,Large Business,2012,56238721000,1210311
Colorado,CO,Small Business,2012,81728595000,1981381
New Mexico,NM,Small Business,2012,22389403000,656722
South Carolina,SC,Large Business,2012,32311261000,810385
West Virginia,WV,Large Business,2012,11516739000,277508
Idaho,ID,Large Business,2012,8631548000,211531
Rhode Island,RI,Large Business,2012,8437621000,177140
District of Columbia,DC,Large Business,2012,19007371000,248966
Oregon,OR,Large Business,2012,31279611000,605749
Tennessee,TN,Large Business,2012,57788597000,1319092
Wisconsin,WI,Small Business,2012,86782402000,2418036
Mississippi,MS,Small Business,2012,26726654000,858119
California,CA,Small Business,2012,592568755000,12942199
Indiana,IN,Large Business,2012,58890274000,1338825
Washington,WA,Large Business,2012,70590992000,1122805
South Carolina,SC,Small Business,2012,47063632000,1457462
Illinois,IL,Large Business,2012,149327357000,2701783
Delaware,DE,Small Business,2012,13981572000,333912
Nevada,NV,Large Business,2012,23773541000,595625
Missouri,MO,Small Business,2012,78021498000,2215859
South Dakota,SD,Large Business,2012,5305371000,134233
Arkansas,AR,Small Business,2012,29591556000,953898
Virginia,VA,Small Business,2012,126357470000,2906392
Rhode Island,RI,Small Business,2012,17343632000,442959
Alaska,AK,Small Business,2012,13118911000,274242
Oklahoma,OK,Large Business,2012,27824233000,596095
Massachusetts,MA,Large Business,2012,102923462000,1627966
Texas,TX,Small Business,2012,353397886000,8550693
New Hampshire,NH,Small Business,2012,23552841000,567469
Connecticut,CT,Small Business,2012,70085132000,1439712
Ohio,OH,Large Business,2012,111758582000,2402545
Maryland,MD,Small Business,2012,97454241000,2182146
Kansas,KS,Small Business,2012,42167247000,1189070
Georgia,GA,Large Business,2012,91007643000,1872197
Utah,UT,Large Business,2012,23596354000,534293
Kentucky,KY,Small Business,2012,45442428000,1372379
Florida,FL,Large Business,2012,168596897000,3932215
Georgia,GA,Small Business,2012,113067007000,2998275
Alaska,AK,Large Business,2012,7270676000,117140
Maryland,MD,Large Business,2012,56835341000,1049470
Wisconsin,WI,Large Business,2012,56185864000,1178194
Kentucky,KY,Large Business,2012,33304256000,794806
Maine,ME,Large Business,2012,8914991000,207808
Utah,UT,Small Business,2012,37202550000,1005679
Vermont,VT,Small Business,2012,11231113000,311675
New York,NY,Small Business,2012,376482096000,7715954
New Jersey,NJ,Large Business,2012,110229102000,1703253
Vermont,VT,Large Business,2012,3400989000,93619
Alabama,AL,Small Business,2012,53389434000,1528263
Maine,ME,Small Business,2012,18976755000,555016
Wyoming,WY,Large Business,2012,4107424000,70204
Delaware,DE,Large Business,2012,11024355000,193322
Ohio,OH,Small Business,2012,154476337000,4246874
North Carolina,NC,Large Business,2012,82383667000,1780024
Virginia,VA,Large Business,2012,86236362000,1623538
Michigan,MI,Small Business,2012,136525778000,3511200
Idaho,ID,Small Business,2012,17059846000,550759
Iowa,IA,Small Business,2012,43868065000,1275329
Oklahoma,OK,Small Business,2012,49919176000,1386962
Tennessee,TN,Small Business,2012,76398628000,2045451
Louisiana,LA,Large Business,2012,34703003000,743022
Alabama,AL,Large Business,2012,33285876000,807297
Hawaii,HI,Large Business,2012,9565682000,230709
Louisiana,LA,Small Business,2012,66203178000,1776889
Michigan,MI,Large Business,2012,82407004000,1693509
New Jersey,NJ,Small Business,2012,159276784000,3470320
New Hampshire,NH,Large Business,2012,12256598000,264900
Arizona,AZ,Large Business,2012,53764372000,1159871
Washington,WA,Small Business,2012,102703526000,2459554
West Virginia,WV,Small Business,2012,18618637000,594794
Wyoming,WY,Small Business,2012,10066927000,265687
Texas,TX,Large Business,2012,269968345000,5074961
North Dakota,ND,Small Business,2012,15014676000,387588
District of Columbia,DC,Small Business,2012,28732946000,457272
Kansas,KS,Large Business,2012,24483782000,539158
New Mexico,NM,Large Business,2012,10554978000,262260
Massachusetts,MA,Small Business,2012,138764199000,2807093
New Jersey,NJ,Small Business,2013,162006660000,3498037
Pennsylvania,PA,Large Business,2013,143159719000,2751431
Ohio,OH,Large Business,2013,115051132000,2447402
Georgia,GA,Large Business,2013,94893272000,1918545
Nebraska,NE,Large Business,2013,16349876000,372876
North Dakota,ND,Small Business,2013,15899170000,396939
New Mexico,NM,Large Business,2013,11200057000,262674
Georgia,GA,Small Business,2013,115977810000,3040082
Idaho,ID,Large Business,2013,9213537000,221897
Washington,WA,Large Business,2013,76456425000,1172411
Connecticut,CT,Large Business,2013,49726004000,744216
Nevada,NV,Small Business,2013,32465953000,855526
Hawaii,HI,Large Business,2013,9834279000,231469
Wisconsin,WI,Small Business,2013,87975881000,2431021
New Hampshire,NH,Large Business,2013,12869469000,265025
Hawaii,HI,Small Business,2013,18988466000,526038
Wyoming,WY,Large Business,2013,4156489000,72219
Oregon,OR,Large Business,2013,32901331000,618361
Oklahoma,OK,Large Business,2013,28451315000,609404
Nevada,NV,Large Business,2013,24815928000,615143
New Hampshire,NH,Small Business,2013,24030492000,572955
Connecticut,CT,Small Business,2013,70544035000,1441378
Oklahoma,OK,Small Business,2013,50820374000,1398394
Delaware,DE,Small Business,2013,14808408000,344204
Colorado,CO,Small Business,2013,85540066000,2040713
Ohio,OH,Small Business,2013,156953655000,4237123
Nebraska,NE,Small Business,2013,27351960000,785760
New Jersey,NJ,Large Business,2013,113968173000,1741034
Oregon,OR,Small Business,2013,56235774000,1554804
Idaho,ID,Small Business,2013,17960657000,565523
Indiana,IN,Large Business,2013,62139482000,1386661
North Dakota,ND,Large Business,2013,7315390000,138060
Wyoming,WY,Small Business,2013,10230003000,263760
Wisconsin,WI,Large Business,2013,58043835000,1184388
Texas,TX,Small Business,2013,368374548000,8813443
Massachusetts,MA,Large Business,2013,106925705000,1646847
Alaska,AK,Small Business,2013,13537424000,279748
West Virginia,WV,Small Business,2013,18562834000,581659
Kansas,KS,Large Business,2013,26096803000,554089
Massachusetts,MA,Small Business,2013,143220681000,2846047
Texas,TX,Large Business,2013,284219141000,5256436
Arizona,AZ,Large Business,2013,54726699000,1174927
Michigan,MI,Large Business,2013,85494032000,1740818
District of Columbia,DC,Large Business,2013,19001375000,243798
